SCF Control,SCF #,"Secure Controls Framework (SCF)
Control Description","Risk if Primary Control
Not Implemented",Possible Compensating Control #1,Compensating Control Name,Compensating Control #,Compensating Control Justification,Possible Compensating Control #2,Compensating Control Name,Compensating Control #,Compensating Control Justification
Authoritative Chain of Command,GOV-04.2,"Mechanisms exist to establish an authoritative chain of command with clear lines of communication to remove ambiguity from individuals and teams related to managing Technology Assets, Applications, Services and/or Data (TAASD)-related risks.","Without Authoritative Chain of Command, AI and autonomous technology risks may go ungoverned, leading to unintended outcomes or exploitation.",HRS-03,Defined Roles & Responsibilities,Mechanisms exist to define cybersecurity roles & responsibilities for all personnel.,"Defined Roles & Responsibilities (HRS-03) provides overlapping security capability that compensates for the absence of Authoritative Chain of Command (GOV-04.2) by addressing related risk objectives through an alternative control mechanism aligned with Process applicability. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",GOV-04,"Assigned Security, Compliance & Resilience Responsibilities","Mechanisms exist to assign one or more qualified individuals with the mission and resources to centrally-manage, coordinate, develop, implement and maintain an enterprise-wide Security, Compliance & Resilience Program (SCRP).","Assigned Security, Compliance & Resilience Responsibilities (GOV-04) provides resilience and recovery capability that compensates for the absence of Authoritative Chain of Command (GOV-04.2) by ensuring the organization can restore operations and data when the primary control is absent. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Measures of Performance,GOV-05,"Mechanisms exist to develop, report and monitor Security, Compliance & Resilience Program (SCRP) measures of performance.","Without Measures of Performance, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",CPL-02,"Security, Compliance & Resilience Controls Oversight","Mechanisms exist to provide a security, compliance and resilience controls oversight function that reports to the organization's executive leadership.","Security, Compliance & Resilience Controls Oversight (CPL-02) provides resilience and recovery capability that compensates for the absence of Measures of Performance (GOV-05) by ensuring the organization can restore operations and data when the primary control is absent. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",RSK-11,Risk Monitoring,"Mechanisms exist to ensure risk monitoring as an integral part of the continuous monitoring strategy that includes monitoring the effectiveness of security, compliance and resilience controls, compliance and change management.","Risk Monitoring (RSK-11) provides detective monitoring capability that compensates for the absence of Measures of Performance (GOV-05) by identifying unauthorized, anomalous, or non-compliant activity that the primary control would have prevented. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Key Performance Indicators (KPIs),GOV-05.1,"Mechanisms exist to develop, report and monitor Key Performance Indicators (KPIs) to assist organizational management in performance monitoring and trend analysis of the Security, Compliance & Resilience Program (SCRP).","Without Key Performance Indicators (KPIs), residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",MON-06,Monitoring Reporting,Mechanisms exist to provide an event log report generation capability to aid in detecting and assessing anomalous activities.,"Monitoring Reporting (MON-06) provides detective monitoring capability that compensates for the absence of Key Performance Indicators (KPIs) (GOV-05.1) by identifying unauthorized, anomalous, or non-compliant activity that the primary control would have prevented. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",RSK-11,Risk Monitoring,"Mechanisms exist to ensure risk monitoring as an integral part of the continuous monitoring strategy that includes monitoring the effectiveness of security, compliance and resilience controls, compliance and change management.","Risk Monitoring (RSK-11) provides detective monitoring capability that compensates for the absence of Key Performance Indicators (KPIs) (GOV-05.1) by identifying unauthorized, anomalous, or non-compliant activity that the primary control would have prevented. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Key Risk Indicators (KRIs),GOV-05.2,"Mechanisms exist to develop, report and monitor Key Risk Indicators (KRIs) to assist senior management in performance monitoring and trend analysis of the Security, Compliance & Resilience Program (SCRP).","Without Key Risk Indicators (KRIs), security risks may go unmanaged, resulting in uncontrolled exposures and misaligned security investments.",RSK-05,Risk Ranking,Mechanisms exist to identify and assign a risk ranking to newly discovered security vulnerabilities that is based on industry-recognized practices.,"Risk Ranking (RSK-05) provides risk identification and prioritization that compensates for the absence of Key Risk Indicators (KRIs) (GOV-05.2) by enabling informed decisions about where to focus resources to manage residual exposure. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",MON-06,Monitoring Reporting,Mechanisms exist to provide an event log report generation capability to aid in detecting and assessing anomalous activities.,"Monitoring Reporting (MON-06) provides detective monitoring capability that compensates for the absence of Key Risk Indicators (KRIs) (GOV-05.2) by identifying unauthorized, anomalous, or non-compliant activity that the primary control would have prevented. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Contacts With Authorities,GOV-06,Mechanisms exist to identify and document appropriate contacts with relevant law enforcement and regulatory bodies.,"Without Contacts With Authorities, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",IRO-10,Incident Stakeholder Reporting,"Mechanisms exist to timely-report incidents to applicable:
(1) Internal stakeholders; 
(2) Affected clients & third-parties; and
(3) Regulatory authorities.","Incident Stakeholder Reporting (IRO-10) provides incident response capability that compensates for the absence of Contacts With Authorities (GOV-06) by enabling timely detection, containment, and recovery from security events in the absence of the primary control. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CPL-01,"Statutory, Regulatory & Contractual Compliance","Mechanisms exist to facilitate the identification and implementation of relevant statutory, regulatory and contractual controls.","Statutory, Regulatory & Contractual Compliance (CPL-01) provides overlapping security capability that compensates for the absence of Contacts With Authorities (GOV-06) by addressing related risk objectives through an alternative control mechanism aligned with Process applicability. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Contacts With Groups & Associations,GOV-07,"Mechanisms exist to establish contact with selected groups and associations within the security, compliance and resilience communities to: 
(1) Facilitate ongoing cybersecurity and data protection education and training for organizational personnel;
(2) Maintain currency with recommended cybersecurity and data protection practices, techniques and technologies; and
(3) Share current cybersecurity and/or data protection-related information including threats, vulnerabilities and incidents.","Without Contacts With Groups & Associations, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",THR-01,Threat Intelligence Program,"Mechanisms exist to implement a threat intelligence program that includes a cross-organization information-sharing capability that can influence the development of the system and security architectures, selection of security solutions, monitoring, threat hunting, response and recovery activities.","Threat Intelligence Program (THR-01) provides policy-level governance that compensates for the absence of Contacts With Groups & Associations (GOV-07) by establishing documented expectations, accountability structures, and organizational guardrails. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CPL-03,"Security, Compliance & Resilience Assessments","Mechanisms exist to regularly review processes and documented procedures to ensure conformity with the organization's security, compliance and/or resilience policies, standards and other applicable requirements.","Security, Compliance & Resilience Assessments (CPL-03) provides periodic assessment and assurance that compensates for the absence of Contacts With Groups & Associations (GOV-07) by providing structured evaluation of the environment to surface gaps and verify residual control effectiveness. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Defining Business Context & Mission,GOV-08,Mechanisms exist to define the context of its business model and document the organization's mission.,"Without Defining Business Context & Mission, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",RSK-01,Risk Management Program,"Mechanisms exist to facilitate the implementation of strategic, operational and tactical risk management controls.","Risk Management Program (RSK-01) provides policy-level governance that compensates for the absence of Defining Business Context & Mission (GOV-08) by establishing documented expectations, accountability structures, and organizational guardrails. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",PRM-05,"Security, Compliance & Resilience Requirements Definition","Mechanisms exist to identify critical system components and functions by performing a criticality analysis for critical Technology Assets, Applications and/or Services (TAAS) at pre-defined decision points in the Secure Development Life Cycle (SDLC).","Security, Compliance & Resilience Requirements Definition (PRM-05) provides resilience and recovery capability that compensates for the absence of Defining Business Context & Mission (GOV-08) by ensuring the organization can restore operations and data when the primary control is absent. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Define Control Objectives,GOV-09,"Mechanisms exist to establish control objectives as the basis for the selection, implementation and management of the organization's internal security, compliance and resilience control system.","Without Define Control Objectives, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",RSK-01,Risk Management Program,"Mechanisms exist to facilitate the implementation of strategic, operational and tactical risk management controls.","Risk Management Program (RSK-01) provides policy-level governance that compensates for the absence of Define Control Objectives (GOV-09) by establishing documented expectations, accountability structures, and organizational guardrails. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CPL-09,Control Reciprocity,Mechanisms exist to define instances of control reciprocity within assessment boundaries.,"Control Reciprocity (CPL-09) provides overlapping security capability that compensates for the absence of Define Control Objectives (GOV-09) by addressing related risk objectives through an alternative control mechanism aligned with Process applicability. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Data Governance,GOV-10,"Mechanisms exist to facilitate data governance to oversee the organization's policies, standards and procedures so that sensitive and/or regulated data is effectively managed and maintained in accordance with applicable statutory, regulatory and contractual obligations.","Without Data Governance, security risks may go unmanaged, resulting in uncontrolled exposures and misaligned security investments.",DCH-01,Data Protection,Mechanisms exist to facilitate the implementation of data protection controls.,"Data Protection (DCH-01) provides overlapping security capability that compensates for the absence of Data Governance (GOV-10) by addressing related risk objectives through an alternative control mechanism aligned with Process applicability. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",PRI-01,Data Privacy Program,"Mechanisms exist to facilitate the implementation and operation of data protection controls throughout the data lifecycle to ensure all forms of Personal Data (PD) are processed lawfully, fairly and transparently.","Data Privacy Program (PRI-01) provides policy-level governance that compensates for the absence of Data Governance (GOV-10) by establishing documented expectations, accountability structures, and organizational guardrails. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Data Catalog,GOV-10.1,Mechanisms exist to identify and catalog the organization's data holdings in a structured format to document each significant data asset.,"Without Data Catalog, security events may go undetected, allowing threats to persist and increasing breach dwell time.",DCH-24,Information Location,Mechanisms exist to identify and document the location of information and the specific system components on which the information resides.,"Information Location (DCH-24) provides overlapping security capability that compensates for the absence of Data Catalog (GOV-10.1) by addressing related risk objectives through an alternative control mechanism. Given the data-handling focus of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",DCH-02,Data & Asset Classification,"Mechanisms exist to ensure data and assets are categorized in accordance with applicable statutory, regulatory and contractual requirements.","Data & Asset Classification (DCH-02) provides asset and inventory visibility that compensates for the absence of Data Catalog (GOV-10.1) by providing the foundational asset knowledge needed to manage risks associated with the primary control. Given the data-handling focus of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Purpose Validation,GOV-11,"Mechanisms exist to monitor mission/business-critical Technology Assets, Applications and/or Services (TAAS) to ensure those resources are being used consistent with their intended purpose.","Without Purpose Validation, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",PRI-04,Restrict Collection To Identified Purpose,"Mechanisms exist to minimize the collection of Personal Data (PD) to only what is adequate, relevant and limited to the purposes identified in the data privacy notice, including protections against collecting PD from minors without appropriate parental or legal guardian consent.","Restrict Collection To Identified Purpose (PRI-04) provides overlapping security capability that compensates for the absence of Purpose Validation (GOV-11) by addressing related risk objectives through an alternative control mechanism aligned with Process applicability. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",DCH-01,Data Protection,Mechanisms exist to facilitate the implementation of data protection controls.,"Data Protection (DCH-01) provides overlapping security capability that compensates for the absence of Purpose Validation (GOV-11) by addressing related risk objectives through an alternative control mechanism aligned with Process applicability. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Forced Technology Transfer (FTT),GOV-12,"Mechanisms exist to avoid and/or constrain the forced exfiltration of sensitive and/or regulated information (e.g., Intellectual Property (IP)) to the host government for purposes of market access or market management practices.","Not Applicable (N/A) - Not eligible for a compensating control, due to being a material control (control weighting of 10/10). A deficiency with or absence of a material control would be a material weakness to the organization's Security, Compliance & Resilience Program (SCRP).",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
State-Sponsored Espionage,GOV-13,"Mechanisms exist to constrain the host government's ability to leverage the organization's Technology Assets, Applications and/or Services (TAAS) for economic or political espionage and/or cyberwarfare activities.","Not Applicable (N/A) - Not eligible for a compensating control, due to being a material control (control weighting of 10/10). A deficiency with or absence of a material control would be a material weakness to the organization's Security, Compliance & Resilience Program (SCRP).",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Business As Usual (BAU) Security, Compliance & Resilience Practices",GOV-14,"Mechanisms exist to incorporate security, compliance and resilience principles into Business As Usual (BAU) practices through executive leadership involvement.","Without Business As Usual (BAU) Security, Compliance & Resilience Practices, the organization may be unable to recover from disruptions, resulting in data loss and extended downtime.",GOV-01,"Security, Compliance & Resilience Program (SCRP)","Mechanisms exist to facilitate the implementation of security, compliance and resilience governance controls.","Security, Compliance & Resilience Program (SCRP) (GOV-01) provides resilience and recovery capability that compensates for the absence of Business As Usual (BAU) Security, Compliance & Resilience Practices (GOV-14) by ensuring the organization can restore operations and data when the primary control is absent. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",SAT-02,"Security, Compliance & Resilience Awareness Training","Mechanisms exist to provide all employees and contractors appropriate security, compliance and resilience awareness education and training that is relevant for their job function.","Security, Compliance & Resilience Awareness Training (SAT-02) provides personnel training and awareness that compensates for the absence of Business As Usual (BAU) Security, Compliance & Resilience Practices (GOV-14) by reducing human-factor risk by equipping personnel to recognize and respond to relevant threats. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
"Operationalizing Security, Compliance & Resilience Capabilities",GOV-15,"Mechanisms exist to compel data and/or process owners to operationalize security, compliance and resilience practices for Technology Assets, Applications, Services and/or Data (TAASD) under their control.","Without Operationalizing Security, Compliance & Resilience Capabilities, the organization may be unable to recover from disruptions, resulting in data loss and extended downtime.",RSK-01,Risk Management Program,"Mechanisms exist to facilitate the implementation of strategic, operational and tactical risk management controls.","Risk Management Program (RSK-01) provides policy-level governance that compensates for the absence of Operationalizing Security, Compliance & Resilience Capabilities (GOV-15) by establishing documented expectations, accountability structures, and organizational guardrails. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CPL-09,Control Reciprocity,Mechanisms exist to define instances of control reciprocity within assessment boundaries.,"Control Reciprocity (CPL-09) provides overlapping security capability that compensates for the absence of Operationalizing Security, Compliance & Resilience Capabilities (GOV-15) by addressing related risk objectives through an alternative control mechanism aligned with Process applicability. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
Select Controls,GOV-15.1,"Mechanisms exist to compel data and/or process owners to select required security, compliance and resilience controls for Technology Assets, Applications, Services and/or Data (TAASD) under their control.","Without Select Controls, residual security, compliance, or resilience risk may accumulate, potentially leading to control failures or non-compliance.",RSK-04,Risk Assessment,"Mechanisms exist to conduct recurring assessments of risk that includes the likelihood and magnitude of harm, from unauthorized access, use, disclosure, disruption, modification or destruction of the organization's Technology Assets, Applications, Services and/or Data (TAASD).","Risk Assessment (RSK-04) provides periodic assessment and assurance that compensates for the absence of Select Controls (GOV-15.1) by providing structured evaluation of the environment to surface gaps and verify residual control effectiveness. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented.",CPL-12,Statement of Applicability (SOA),"Mechanisms exist to produce a Statement of Applicability (SOA), or similar document, for compliance-related scoping activities.","Statement of Applicability (SOA) (CPL-12) provides overlapping security capability that compensates for the absence of Select Controls (GOV-15.1) by addressing related risk objectives through an alternative control mechanism aligned with Process applicability. Given the process-oriented nature of this control, this compensating control targets the same underlying risk objective through an alternative approach, helping to maintain an acceptable level of residual risk until the primary control can be implemented."
