id,erl_id,area_of_focus,documentation_artifact,artifact_description,scf_control_mappings,scf_version,import_id,created_at,updated_at
0e9130c9-01af-43ee-8815-d43fe8baffbb,E-AST-16,Asset Management,Secure Baseline Configurations - Major Applications,Documented evidence of secure baseline configurations for all deployed types of major applications.,"[""CFG-02"",""CFG-03"",""CFG-02.5""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
0ea64df6-83d1-431e-a4a3-869367535a89,E-GOV-03,Cybersecurity & Data Protection Management,Charter - Cybersecurity Steering Committee,"Documented evidence of an executive steering committee, or advisory board, that is formed to perform oversight of cybersecurity management decisions and is comprised of key cybersecurity, technology, risk, privacy and business executives.","[""GOV-01.1"",""GOV-01.2""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
0ee728be-1900-403c-8983-fa3d2defd1fe,E-CPL-02,Compliance,Defined Compliance Scope (DCS),"Documented evidence of a formal scoping document that identifies applicable statutory, regulatory and/or contractual obligations for the organization. Defines the affected Lines of Business (LOB), internal / external stakeholders and facilities for the specific scope of compliance obligations.","[""AST-04.1"",""AST-04.2"",""AST-04.3"",""CPL-01.2""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
0f6257a2-e490-409a-ab2e-030b212102cc,E-IRO-02,Incident Response,Indicators of Compromise (IOC),Documented evidence of defined Indicators of Compromise (IOC).,"[""MON-11.3"",""MON-16"",""MON-16.1"",""MON-16.2"",""MON-16.3"",""IRO-03""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
0fed849b-2422-44b0-b83a-1f1ba6ff9ea5,E-GOV-12,Cybersecurity & Data Protection Management,Cybersecurity & Data Protection Policies & Standards Reviews,Documented evidence of a periodic review process for the organization's cybersecurity & data protection policies and standards to identify necessary updates.,"[""GOV-03"",""SEA-01.1"",""SEA-01.2""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
11e5572c-63a6-45b9-af74-1c3f971a8424,E-DCH-03,Data Protection,Network Diagram - Global System View (GSV),"Documented evidence of a high-level network diagram that provides a conceptual, logical depiction of the network(s) to describe the interconnections of the systems/applications/services, including internal and external interfaces.","[""AST-04"",""NET-02""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
1510cc21-4f08-4b39-a6c8-ba1072a2580d,E-TDA-02,Technology Design & Acquisition,Secure Engineering & Data Privacy (SEDP),"Documented evidence of a Secure Engineering & Data Privacy (SEDP) program. This is program-level documentation in the form of a runbook, playbook or a similar format provides guidance on organizational practices that support existing policies and standards.","[""SEA-01"",""TDA-01"",""TDA-14"",""TDA-14.1"",""TDA-14.2""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
16da3211-3116-4890-b69b-cf983ed104d6,E-CAP-01,Capacity Management,Capacity Planning,Documented evidence of proactive capacity planning to meet expected and anticipated future technology-related capacity and/or performance requirements.,"[""CAP-01"",""CAP-03""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
17d9b5a3-eefc-4b3c-9f37-c32487849b17,E-DCH-02,Data Protection,Data Handling Practices,"Documented evidence of an organization-specific data handling practices (e.g., guidance specific the data classification scheme).","[""AST-04.1"",""DCH-01.1"",""DCH-01.2"",""DCH-01.4"",""DCH-02"",""DCH-06""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
1959f23a-1856-49ed-8cea-fbae46ae6ce9,E-CRY-03,Cryptographic Protections,Certificate Monitoring,Documented evidence of certificate monitoring activities.,"[""CRY-12""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
197c8852-9058-4230-8f45-ca38a8a1b615,E-HRS-10,Human Resources,Role Assignment - DPO,Documented evidence of a formal role assignment to Data Protection Officer (DPO) positions.,"[""GOV-04"",""PRI-01.4""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
19c0d4f6-3684-4dc6-87c0-3713ca737050,E-GOV-05,Cybersecurity & Data Protection Management,Charter - Audit Committee,"Documented evidence of an executive steering committee, or advisory board, that is formed to perform oversight of internal and external audit management decisions and is comprised of key cybersecurity, technology, risk, privacy and business executives.","[""GOV-01.2"",""CPL-02""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
1bc33995-9e16-48bd-a2de-66ba576c1719,E-AAT-01,Artificial Intelligence (AI) & Autonomous Technologies Governance,Artificial Intelligence and Autonomous Technologies (AAT) Governance Program,Documented evidence of a governance program for Artificial Intelligence and Autonomous Technologies (AAT).,"[""AAT-01""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
1d6d8c5b-013e-4035-a35c-60cc640d8cb3,E-MON-01,Event Log Monitoring,Event Log Review & Analysis,Documented evidence of security event log review and analysis.,"[""MON-01"",""MON-01.1"",""MON-01.2"",""MON-01.3"",""MON-01.4"",""MON-01.8"",""MON-02"",""MON-02.2""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-30 18:56:36.793232+00
1d995cee-0828-43c0-a779-e2b7f663dd29,E-TDA-03,Technology Design & Acquisition,Application Security Testing (AST),"Documented evidence of application security testing (e.g., DAST, SAST, fuzzing, etc.).","[""TDA-06.2"",""TDA-09"",""TDA-09.1"",""TDA-09.2"",""TDA-09.3"",""TDA-09.4"",""TDA-09.5"",""TDA-09.6""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
1f825083-3cc5-4023-a76d-e4ede9529973,E-IAM-03,Identity & Access Management,Privileged User Inventory,"Documented evidence of an inventory of privileged users across systems, applications and services (internal and external).","[""IAC-16"",""IAC-16.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
1f8f5fe3-5018-4c19-8823-e017d3135d04,E-PRI-02,Privacy,Authorized Use,Documented evidence of authorized use definitions for privacy-related data operations.,"[""PRI-04"",""PRI-04.1"",""PRI-05"",""PRI-05.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
20c0ae4b-cc7e-468b-8354-32928a6cbb9d,E-AST-08,Asset Management,Asset Inventories - Sensitive / Regulated Data,"Documented evidence of an inventory of the organization's sensitive/regulated data (including systems where sensitive/regulated data is stored, processed and/or transmitted) that contains sufficient information to determine the potential impact in the event of a data loss incident.","[""CLD-10"",""DCH-01.3"",""DCH-06.2"",""BCD-11.2"",""PRI-05.5""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
23aca272-14b4-431c-8585-d76c65dfbdea,E-THR-05,Threat Management,Threat Mitigation,Documented evidence of steps taken to mitigate identified threats.,"[""TDA-06.2"",""THR-07"",""VPM-01"",""VPM-04""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
23e7ed75-a87d-4192-84c7-809f11490220,E-DCH-04,Data Protection,Network Diagram - Low Level,"Documented evidence of a low-level network diagram that provides a detailed, logical depiction of assets on the network(s).","[""AST-04"",""NET-02""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
24cf42b9-cd32-48a8-a8ff-d32796f73209,E-VPM-02,Vulnerability Management,Penetration Testing - Application,"Documented evidence of Application Security Testing (AST) activities:
• Abuse case, malformed, and unexpected inputs (e.g., Robustness or Fuzz testing);
• Attack surface analysis;
• Vulnerability chaining;
• Closed box testing of known vulnerability scanning;
• Software composition analysis of binary executable files; and/or
• Static and dynamic code analysis, including testing for credentials that are “hardcoded,” default, easily guessed, and easily compromised.","[""VPM-07""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
251a33dd-2c67-4337-a22a-11b2b2056226,E-PRM-04,Resource Management,Targeted Maturity Level,Documented evidence of a targeted level of control maturity from a Capability Maturity Model (CMM).,"[""PRM-01.2""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
25ab5192-8bc9-4d91-b0da-faa464e11b21,E-TDA-13,Technology Design & Acquisition,Software Escrow,Documented evidence of a software escrow solution.,"[""TDA-20.3""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
274828ed-530e-4598-a899-1fd66bbda368,E-PRI-08,Privacy,Data Privacy Notice,Documented evidence of a publicly-accessible data privacy notice.,"[""PRI-02""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
2898d95b-2992-49b7-a049-e4b8b87ff408,E-AST-26,Asset Management,Roots of Trust Evidence,Documented evidence of product supplier data that can be used as a “roots of trust” basis for integrity verification.,"[""AST-18""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
290abd72-a77e-46c0-a66e-2987087ebdcf,E-MON-04,Event Log Monitoring,Rogue Devices,Documented evidence of rogue device identification is included as part of the centralized event log collection and review/analysis process.,"[""AST-02.6""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
29b43ce1-a3c6-4496-a3d7-7c8e27b7b55b,E-HRS-16,Human Resources,"Access Agreements ",Documented evidence of personnel management practices protecting sensitive/regulated data through formal access agreements.,"[""HRS-03.1"",""HRS-05"",""HRS-06"",""HRS-10""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
2a5a60e4-37c4-4b71-81b5-9c00bd4fc65f,E-GOV-16,Cybersecurity & Data Protection Management,Material Threats,Documented evidence of specific threats that are categorized as material threats.,"[""GOV-16.2""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
2afbd70f-4aa2-4766-830a-f26fc5658b9c,E-AST-11,Asset Management,Data Retention Program,Documented evidence of a formal data retention program that governs the retention and destruction of data types.,"[""DCH-18"",""MON-10"",""PRI-05""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
2c283344-cf27-4ae8-9e5a-4f3dccf3bcd9,E-MNT-01,Maintenance,Maintenance - Authorized Maintenance Personnel,Documented evidence of personnel who have designated maintenance roles.,"[""MNT-06.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
2c335316-92a1-4e9e-8563-3fa450fdb5d0,E-RSK-03,Risk Management,Plan of Actions & Milestones (POA&M) / Risk Register,"Documented evidence of a POA&M, or risk register, that tracks control deficiencies from identification through remediation.","[""AST-02.4"",""CPL-02"",""IAO-05"",""RSK-04.1"",""RSK-06"",""RSK-06.1"",""RSK-06.2"",""VPM-02"",""VPM-03""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
2c4780f0-53df-47d1-a012-6a8e9850b6e8,E-NET-05,Network Security,Zero Trust Architecture (ZTA),Documented evidence of controls that would enable the organization to claim conformity with Zero Trust (ZT) principles.,"[""NET-01.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
2c96e391-8fed-46f9-b3d7-ba026d7f9113,E-THR-02,Threat Management,Industry Associations / Memberships,Documented evidence of industry associations the organization utilizes to maintain situational awareness of evolving threats and trends.,"[""GOV-07""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
2d72c1f3-c22f-4da8-920a-24a93ff72f8b,E-IRO-09,Incident Response,Formally Assigned Incident Response Roles & Responsibilities,"Documented evidence of the establishment of a formally-assigned, integrated team of cybersecurity, IT and business function representatives that are capable of addressing cybersecurity & data privacy incident response operations.","[""IRO-07"",""IRO-16""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
2daeee2b-328a-44ca-acee-ab90fefe3570,E-PRM-02,Resource Management,Portfolio Roadmap,Documented evidence of the organization's roadmap for implementing cybersecurity-related initiatives and technologies.,"[""PRM-01"",""PRM-02"",""PRM-03""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
2f6414c0-302a-4eb3-ac6a-3ca23d175c57,E-AST-21,Asset Management,Secure Baseline Configurations - Workstation Class Systems,Documented evidence of secure baseline configurations for all deployed types of workstation-class operating systems.,"[""CFG-02"",""CFG-02.5"",""CFG-03"",""CFG-03.2"",""CFG-05""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
2ffd5708-0689-441b-a0fa-ff24f78c4555,E-IAO-02,Information Assurance,"Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV)","Documented evidence of Artificial Intelligence Test, Evaluation, Validation & Verification (AI TEVV) practices to enable AI-related testing, identification of incidents and information sharing.","[""AAT-10""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
30e6e0dc-cdd1-4ef6-985f-6318aab55e23,E-PRI-06,Privacy,Data Subject Access,Documented evidence of how data subject access requests are handled that includes intake through remediation.,"[""PRI-06""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
31a8d755-eed5-413b-ad1d-2b3715f1a9a3,E-CRY-02,Cryptographic Protections,Cryptographic Key Management,Documented evidence of cryptographic key management practices.,"[""CRY-09""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
337b0124-1457-4783-91f6-f8292c437507,E-GOV-08,Cybersecurity & Data Protection Management,Cybersecurity & Data Protection Policies,Documented evidence of an appropriately-scoped cybersecurity & data protection policies. Policies are high-level statements of management intent from an organization's executive leadership that are designed to influence decisions and guide the organization to achieve the desired outcomes. Policies are enforced by standards and further implemented by procedures to establish actionable and accountable requirements.,"[""GOV-02"",""PRI-01""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
338e9389-6e00-46c6-b9e1-0ad1144d6b8a,E-BCM-03,Business Continuity,Recovery Point Objectives (RPOs),Documented evidence of Recovery Point Objectives (RPOs) that guide Continuity of Operations Plan (COOP)-related operations.,"[""BCD-01.4""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
370275e5-4011-4991-9ebb-c1ef84e78868,E-BCM-15,Business Continuity,Restoration Events,"Documented evidence of system, application and/or data recovery events. This can include random testing of data backups to ensure recovery methods are viable.","[""BCD-11.5"",""BCD-12""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
37922d7a-8141-42f5-a359-eca3ae07c93c,E-CPL-05,Compliance,Internal Audit (IA) Findings,Documented evidence of a centrally-managed and prioritized repository Internal Audit (IA) findings.,"[""CPL-01.1"",""CPL-03"",""GOV-01.2""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
37ddc742-7bd0-4ee1-bf61-6cd4cdad400d,E-IAO-03,Information Assurance,Pre-Production Controls Testing,"Documented evidence of pre-production  cybersecurity & data protection controls testing to determine the extent to which the controls are implemented correctly, operating as intended and producing the desired outcome with respect to meeting expected requirements.","[""IAO-02"",""IAO-02.4"",""IAO-03.2""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
3858c31b-564b-4edd-9251-9024c37469f9,E-TDA-07,Technology Design & Acquisition,"Ports, Protocols & Services (PPS)","Documented evidence of all ports, protocols and services in use by the system, application or service.","[""TDA-01.1"",""TDA-02.1"",""TDA-02.5"",""TPM-04.2""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
390c019e-612b-4ebe-bc16-30b78c588322,E-GOV-15,Cybersecurity & Data Protection Management,Material Risks,Documented evidence of specific risks that are categorized as material risks.,"[""GOV-16.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
39184538-f9d5-4bfd-80ec-4f61922edbef,E-AST-06,Asset Management,Asset Inventories - Cloud Service Provider (CSP),"Documented evidence of an inventory of the organization's cloud-based services (e.g., SaaS, IaaS, PaaS, etc.). ","[""CLD-01"",""CLD-09"",""TPM-01.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
39e6f5a4-7d9c-48c5-9469-a6cfb5508b9d,E-RSK-06,Risk Management,Risk Threshold,Documented evidence the organization has a defined risk threshold.,"[""RSK-01.1"",""RSK-01.3""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
3bdbf112-994a-4b89-84df-c887533acb20,E-TDA-11,Technology Design & Acquisition,Software Assurance Maturity Model (SAMM),Documented evidence of a Software Assurance Maturity Model (SAMM).,"[""TDA-06"",""TDA-06.3""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
3ca861d9-d901-42c2-9f44-f4c4f2a0ca6c,E-BCM-13,Business Continuity,Backups - Recovery,"Documented evidence of a Continuity of Operations Plan (COOP)-related criticality analysis for applications, systems, services, facilities, stakeholders and third-parties.","[""BCD-11"",""BCD-11.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
3dc8d8cb-0b4e-4d6c-9f50-f40db7d30365,E-SAT-01,Education,Continuing Professional Education (CPE),Documented evidence of Continuing Professional Education (CPE) requirements for cybersecurity & data privacy personnel.,"[""SAT-03.7""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
3e149b02-0065-4c3e-a416-5f479f326412,E-CPL-01,Compliance,"Statutory, Regulatory & Contractual Obligations","Documented evidence of applicable statutory, regulatory and/or contractual obligations for cybersecurity & data privacy controls.","[""CPL-01"",""MON-03""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
3e25a240-1e1d-4397-9a1d-98d2f8a53244,E-HRS-20,Human Resources,Non-Disclosure Agreements (NDAs),Documented evidence of the use of Non-Disclosure Agreements (NDAs) that restricts unauthorized sharing of sensitive/regulated data.,"[""HRS-06.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
3ef9564b-189a-40e4-a0a9-bc66cfd991ef,E-SAT-03,Education,Practical Exercises,"Documented evidence of practical user training exercises for cybersecurity and/or data privacy topics (e.g., phishing exercise).","[""SAT-02.1"",""SAT-03.1"",""SAT-04""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
41cc765a-d7c7-48d8-9b35-ba08285de8e3,E-HRS-27,Human Resources,Personnel Sanctions,Documented evidence of personnel management practices to formally sanction unacceptable behavior(s).,"[""HRS-01"",""HRS-07"",""OPS-01""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
41f7c50d-a582-4430-8b6b-7384fe7deb9e,E-SAT-02,Education,Initial User Training,Documented evidence of initial user training for cybersecurity and/ord ata privacy topics.,"[""SAT-01"",""SAT-02"",""SAT-02.2"",""SAT-04"",""HRS-05.7""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
423837a1-3c55-4da8-90e4-d995806c8a2f,E-IRO-01,Incident Response,Incident Response Program (IRP),"Documented evidence of a Incident Response Plan (IRP). This is program-level documentation in the form of a runbook, playbook or a similar format provides guidance on organizational practices that support existing policies and standards.","[""IRO-01"",""IRO-02.4"",""IRO-02.5"",""IRO-04"",""IRO-06.1"",""IRO-07"",""IRO-08"",""IRO-10"",""IRO-10.2""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
439ec275-143f-4c3b-bb17-89ad7752f527,E-SAT-05,Education,Role-Based Training,"Documented evidence of specialized user training for privileged users, executives, individuals who handle sensitive/regulated data, etc.","[""DCH-14"",""SAT-01"",""SAT-03"",""SAT-03.4"",""SAT-03.5"",""SAT-04"",""THR-05""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
44b33f71-a7ed-4a45-ba4c-8aa5877e5597,E-AST-27,Asset Management,Endpoint Security Tools,"Documented evidence of endpoint security tools employed by the organization to ensure secure and compliant systems, applications and processes (e.g., antimalware, FIM, etc.).","[""END-01"",""END-04"",""END-06""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
46bb87c8-f473-4382-9293-0b2d8ca83855,E-HRS-15,Human Resources,Organization Chart,Current and accurate organization chart that depicts logical staff hierarchies.,"[""GOV-04"",""GOV-04.1"",""GOV-04.2"",""HRS-01"",""OPS-01""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
46e672c1-a03a-4e8f-9d6a-db1553062be4,E-CPL-03,Compliance,Controls Responsibility Matrix (CRM),"Documented evidence of a Controls Responsibility Matrix (CRM), or similar documentation, that identifies the stakeholder involved in executing assigned controls (e.g., Responsible, Accountable, Supportive, Consulted & Informed (RASCI) matrix).","[""AST-01.2"",""AST-03"",""CLD-06.1"",""TPM-05.4""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
4820d240-f809-42e5-8ab1-51a3ca7c21fa,E-TDA-10,Technology Design & Acquisition,Security Use Case View (SUCV),"Documented evidence of diagrams, with explanatory text, describing various security scenarios in each of the operational and clinical functionality states of the system and how the system addresses each scenario architecturally. [note SUCV is specific to medical device manufacturers]","[""TDA-04"",""TDA-04.1"",""TDA-06.2""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
498c2081-e057-4741-94dd-461d48c3c990,E-PRI-01,Privacy,Accounting of Disclosures,Documented evidence of accounting for privacy-related disclosures.,"[""PRI-14.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
4a03ad32-bdec-44ad-8582-04a054bce17f,E-IRO-03,Incident Response,Incident Tracking,Documented evidence of a centralized repository to track cybersecurity & data privacy incidents.,"[""IRO-02"",""IRO-09""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
4b5f4dd9-1046-44cc-a453-103224af31f0,E-THR-04,Threat Management,Threat Intelligence Program (TIP),Documented evidence of a formal capability that intakes and analysis threat information to determine specific threat to the organization and necessary actions to mitigate the threat(s).,"[""THR-01"",""THR-04"",""THR-05""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
4dbf33aa-cd85-4bbb-9a1c-6a5a54f7b342,E-AST-07,Asset Management,Cyber-Physical Systems (CPS),Documented evidence of an inventory of the organization's physical assets that process functions based on software and networks.,"[""AST-02"",""EMB-01""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
501a0425-51cc-4b8a-966d-55c5fd6a8c11,E-HRS-13,Human Resources,Defined Cybersecurity & Data Privacy Responsibilities,Documented evidence of a role-based cybersecurity & data privacy responsibilities to ensure personnel are both educated on the role and are responsible for the associated control execution.,"[""CHG-04"",""GOV-04"",""HRS-03"",""HRS-03.1"",""OPS-01""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
507cc114-3afc-4176-9dce-e11d1eb5a335,E-MNT-02,Maintenance,Maintenance Plan,"Documented evidence of a Maintenance Plan. This is program-level documentation in the form of a runbook, playbook or a similar format provides guidance on organizational practices that support existing policies and standards.","[""MNT-01""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
52386c94-bf23-4ec2-acb1-9148a11ad40c,E-NET-01,Network Security,Content / DNS Filtering,Documented evidence of the methods that content / DNS filtering is implemented to prevent Internet traffic from prohibited content and/or hostile web sites.,"[""NET-18"",""NET-18.1""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
53871b28-6293-4e54-947a-bd719d946168,E-HRS-02,Human Resources,Assigned Roles - Application Developers,List of employed or contract personnel assigned to application development roles.,"[""HRS-02"",""HRS-02.1"",""HRS-03"",""OPS-01""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
55e95486-802b-4a23-9581-b924bf9898cc,E-CPL-08,Compliance,Functional Review of Cybersecurity Controls,Documented evidence of control testing to ensure cybersecurity controls function as expected.,"[""CPL-03.2""]",2025.1.1,,2025-07-19 21:33:19.80058+00,2025-07-19 21:33:19.80058+00
