#,SCF Domain,SCF Identifier,"Security, Compliance & Resilience (SCR) Principles",Principle Intent
11,Cryptographic Protections,CRY,Use appropriate cryptographic mechanisms and industry-recognized key management practices to protect sensitive and regulated data at rest and in transit.,"Organizations protect the confidentiality and integrity of data through approved cryptographic technologies, key lifecycle management, cryptographic inventory practices and migration planning that supports secure, resilient and compliant cryptographic protections."
12,Data Classification & Handling,DCH,"Enforce a standardized classification methodology to determine data sensitivity and support Technology Assets, Applications and Services (TAAS) criticality decisions, enabling appropriate data handling, protection, retention and disposal requirements.","Organizations classify Technology Assets, Applications, Services and Data (TAASD) and implement risk-appropriate handling, protection, retention and disposal safeguards to prevent unauthorized disclosure, modification or misuse of data throughout its lifecycle."
13,Embedded Technology,EMB,"Apply risk-based security, compliance and resilience practices to embedded technologies where compromise or misuse could create operational, safety and/or data protection impacts.","Organizations develop, deploy, harden, monitor and maintain embedded technologies, including IoT and Operational Technology (OT), with safeguards for hardware, firmware, software, communications, service protocols and safety-related dependencies."
14,Endpoint Security,END,"Harden and centrally manage endpoint devices to protect Technology Assets, Applications, Services and Data (TAASD) from unauthorized access, compromise and disruption.","Organizations protect endpoint devices and associated data through secure configuration, access control, malware protection, monitoring, response and lifecycle management practices aligned with applicable security, compliance and resilience obligations."
15,Human Resources Security,HRS,"Execute security-informed personnel management practices that address screening, onboarding, acceptable behavior, role-based risk, competence and offboarding requirements.","Organizations cultivate a security, compliance and resilience-minded workforce by defining personnel security expectations, validating role-based competence, supporting appropriate culture and collaboration, and managing personnel risk throughout the employment lifecycle."
16,Identification & Authentication,IAC,"Implement secure, compliant and resilient Identity and Access Management (IAM) capabilities that enforce least privilege across human users, devices, service accounts and other Non-Person Entities (NPEs).","Organizations enforce least privilege by limiting access to Technology Assets, Applications, Services and Data (TAASD) to authorized users, services and entities with Need to Know (NTK) / Need to Access (NTA) based on approved identities, authentication strength, attributes and access rights."
17,Incident Response,IRO,"Maintain a tested incident response capability that enables trained responders to identify, analyze, contain, eradicate and recover from incidents according to documented Incident Response Plans (IRPs).","Organizations establish, maintain and exercise the capability to lawfully and effectively respond to cybersecurity incidents in a timely manner, preserve evidence and notify affected stakeholders as required."
18,Information Assurance,IAO,"Execute Information Assurance (IA) practices to validate that expected security, compliance and resilience controls are appropriately designed and operating as intended for Technology Assets, Applications and Services (TAAS).","Organizations validate the adequacy and operating effectiveness of security, compliance and resilience controls across development, testing and production environments through assurance activities that support defensible risk and compliance decisions."
19,Maintenance,MNT,"Proactively maintain Technology Assets, Applications and Services (TAAS) through authorized maintenance practices that preserve performance, security, compliance, resilience and supportability.","Organizations perform, monitor and document maintenance for TAAS, including third-party-supported or hosted technologies, to preserve operational effectiveness and apply additional scrutiny to end-of-life or unsupported components."
20,Mobile Device Management,MDM,"Govern mobile device access to Technology Assets, Applications, Services and Data (TAASD) to reduce attack surface and data exposure.","Organizations manage risks associated with organization-owned, employee-owned and third-party-owned mobile devices through centralized, risk-based controls for device access, configuration, data storage, monitoring and remote management commensurate with ownership model and risk."
21,Network Security,NET,"Architect and implement defense-in-depth network protections that segment, restrict and monitor access to Technology Assets, Applications, Services and Data (TAASD).","Organizations architect and operate security, compliance and resilience controls that protect the Confidentiality, Integrity, Availability and Safety (CIAS) of network infrastructure through segmentation, traffic control, secure connectivity and situational awareness of network activity."
22,Physical & Environmental Security,PES,"Protect physical environments through layered physical security and environmental controls that safeguard physical and digital assets from unauthorized access, theft, damage and disruption.","Organizations limit physical access to Technology Assets, Applications, Services and Data (TAASD) and monitor environmental conditions commensurate with risk to prevent unauthorized access and reduce equipment failure, damage or disruption from physical and environmental threats."
23,Data Privacy,PRI,"Execute risk-based and legally defensible data privacy practices that conform with applicable statutory, regulatory and contractual obligations to protect sensitive Personal Data (sPD) throughout its lifecycle.",Organizations govern and implement privacy practices that align with overall privacy strategy; meet statutory regulatory and contractual obligations; ensure privacy by design and by default; protect individual rights; and provide lawful processing and safeguards for sensitive Personal Data (sPD).
24,Project & Resource Management,PRM,"Operationalize security, compliance and resilience objectives by integrating cybersecurity and data privacy requirements into project, program and resource management practices.","Organizations ensure security-related initiatives have defined ownership, funding, staffing, dependencies, schedules and project/program management support necessary for successful execution."
26,Quantum Security,QTS,Mitigate quantum-enabled cryptographic risks through governance structures that operationalize Post-Quantum Cryptography (PQC) risk management practices.,"Organizations identify, assess and mitigate risks associated with Cryptographically Relevant Quantum Computers (CRQCs), including risks that may render legacy cryptographic mechanisms ineffective, through cryptographic inventory, prioritization, migration planning and cryptographic agility."
25,Risk Management,RSK,"Proactively identify, assess, prioritize and treat risks to align Technology Assets, Applications, Services and Data (TAASD)-related decisions with the organization's defined risk appetite and risk tolerance.","Organizations ensure business units and process owners understand their roles and responsibilities applicable to effective management of  security, compliance, privacy and resilience risks, while cybersecurity and data privacy teams advise on risk matters and business stakeholders retain risk ownership."
27,Secure Engineering & Architecture,SEA,"Apply industry-recognized secure engineering and architecture principles to deliver secure, compliant and resilient systems, applications and services.","Organizations align cybersecurity engineering and architecture decisions with the organization’s technology strategy and industry-recognized practices, including secure-by-design, threat modeling, resilience engineering and defensible architecture decisions."
28,Security Operations,OPS,"Deliver secure, compliant and resilient operations through defined processes, skilled personnel, monitoring, escalation and continuous improvement that effectively detect, isolate, and remediate cyber threats while ensuring business resilience.","Organizations establish resources, procedures, runbooks and management structures to deliver effective cybersecurity, physical security and data privacy operations aligned with organizational risk, service and resilience needs."
29,Security Awareness & Training,SAT,"Foster a security, compliance and resilience-minded workforce through ongoing, role-based education on evolving threats, obligations and secure workplace practices.","Organizations develop and sustain a security, compliance and resilience-minded workforce through continuous education, awareness activities, practical exercises and role-based training that reinforces expected behaviors."
30,Technology Development & Acquisition,TDA,"Develop and acquire Technology Assets, Applications and Services (TAAS) through secure-by-design, risk-informed and resilient lifecycle practices.","Organizations integrate security, compliance and resilience requirements into internally developed and acquired TAAS, including secure development practices, acquisition due diligence, supplier requirements, validation, acceptance criteria and least privilege/least functionality expectations."
31,Third-Party Management,TPM,"Execute Supply Chain Risk Management (SCRM) practices to assess, select, contract, monitor and manage trustworthy third parties for product and service delivery.","Organizations minimize security, compliance and resilience risks associated with third parties through due diligence, contractual safeguards, ongoing monitoring, performance management, contingency planning and exit strategies."
32,Threat Management,THR,"Proactively identify, assess and manage threats to Technology Assets, Applications, Services and Data (TAASD) and business processes to inform risk decisions and corrective actions.","Organizations establish threat intelligence-informed capabilities to identify, assess, prioritize and manage technology-related and business-process threats to TAASD and determine appropriate risk responses."
33,Vulnerability & Patch Management,VPM,"Reduce exploitable weaknesses in Technology Assets, Applications and Services (TAAS) through coordinated vulnerability identification, prioritization, remediation and validation practices.","Organizations manage technical vulnerabilities through asset-aware discovery, vulnerability assessment, risk-based prioritization, patch management, threat intelligence, remediation validation and change management practices."
34,Web Security,WEB,"Protect Internet-facing Technology Assets, Applications and Services (TAAS) by minimizing attack surfaces and monitoring for anomalous activity.","Organizations reduce risks associated with Internet-accessible TAAS through secure configuration, web and Application Programming Interface (API) security controls, content and file integrity monitoring, logging, auditing and detection of malicious activity."
